Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Piramal Capital Housing Finance,NBFC | 1k-5k Employees | 4 years old | Mumbai +329 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,3.2k,9.2k,132,24,270
Aditya Birla Fashion and Retail,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 9 years old | Mumbai +225 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,3.1k,11.6k,119,48,428
Muthoot Fincorp,NBFC | 10k-50k Employees | Conglomerate | 137 years old | Trivandrum/Thiruvananthapuram +536 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.1k,8k,98,54,282
Royal Enfield,Automobile | 5k-10k Employees | 123 years old | Gurgaon/Gurugram +301 more,4.3,"Skill Development / Learning, Work Satisfaction, Company Culture",,3k,14k,106,15,416
L&T Finance,NBFC | 10k-50k Employees | Public | 30 years old | Mumbai +476 more,4.0,"Salary & Benefits, Skill Development / Learning",,3k,10.8k,85,2,270
Viatris,Pharma | 10k-50k Employees | Forbes Global 2000 | 63 years old | Canonsburg +70 more,4.3,"Salary & Benefits, Job Security, Work Life Balance",,3k,14.4k,99,7,529
Tata Communications,Telecom | 5k-10k Employees | Public | 38 years old | Mumbai +90 more,4.2,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3k,22.6k,183,298,435
Samvardhana Motherson Group,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +79 more,3.8,Job Security,,3k,13.3k,164,7,415
LG Electronics,Consumer Electronics & Appliances | 1k-5k Employees | Public | 66 years old | Seoul +248 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,3k,9.9k,144,6,417
Intas Pharmaceuticals,Pharma | 10k-50k Employees | Fortune India 500 | 24 years old | Ahmedabad +115 more,4.2,"Job Security, Work Life Balance, Salary & Benefits",,3k,14.8k,143,54,407
Kogta Financial India Limited,NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +206 more,4.8,"Company Culture, Work Life Balance, Work Satisfaction",,3k,1.3k,67,13,51
Varun Beverages,Beverage | 5k-10k Employees | Public | 29 years old | Gurgaon/Gurugram +282 more,4.1,"Job Security, Salary & Benefits",Promotions / Appraisal,3k,9.6k,153,63,330
John Deere,Industrial Machinery | 5k-10k Employees | Fortune India 500 | 23 years old | Moline +120 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,3k,14k,153,9,432
Godrej & Boyce Manufacturing,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 127 years old | Mumbai +130 more,3.9,Job Security,Promotions / Appraisal,2.9k,16.3k,125,45,429
Persistent Systems,IT Services & Consulting | 10k-50k Employees | Public | 34 years old | Pune +33 more,3.8,Company Culture,Promotions / Appraisal,2.9k,32.3k,319,259,408
Randstad,Recruitment | 5k-10k Employees | Conglomerate | 32 years old | Chennai +259 more,3.9,"Promotions / Appraisal, Job Security",,2.9k,13.2k,178,2.3k,342
Thermax Limited,Industrial Machinery | 1k-5k Employees | Public | 58 years old | Pune +177 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,2.9k,11.9k,166,71,387
Hetero Drugs,Pharma | 1k-5k Employees | 31 years old | Hyderabad/Secunderabad +45 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",2.9k,13.7k,149,19,343
Havells,Electrical Equipment | 5k-10k Employees | Public | 41 years old | Noida +178 more,4.1,"Work Life Balance, Salary & Benefits, Company Culture",,2.8k,11.9k,129,252,333
Deutsche Bank,Banking | 10k-50k Employees | Fortune India 500 | 154 years old | Frankfurt +37 more,4.1,"Job Security, Work Life Balance, Company Culture",,2.8k,31.1k,220,565,416
Macleods Pharmaceuticals,Pharma | 10k-50k Employees | Public | 38 years old | Mumbai +98 more,3.8,Job Security,Promotions / Appraisal,2.8k,13.9k,125,--,369
CARS24,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Gurgaon +150 more,3.6,"Job Security, Promotions / Appraisal, Work Satisfaction",,2.8k,12.1k,213,306,422
Team Lease,Recruitment | 1k-5k Employees | Public | 8 years old | Bangalore/Bengaluru +302 more,4.0,Promotions / Appraisal,,2.8k,14k,134,258,225
Subros,Auto Components | 1k-5k Employees | Public | 39 years old | Noida +57 more,4.0,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",2.8k,12k,112,--,414
Sodexo,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 16 years old | Issy les Moulineaux +131 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,2.8k,9.5k,107,151,384
Abbott Healthcare,Pharma | 10k-50k Employees | Public | 33 years old | Illinois City +171 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal,2.8k,10.8k,105,141,382
Whitehat jr,EdTech | 5k-10k Employees | Startup | 6 years old | Mumbai +50 more,3.5,"Job Security, Promotions / Appraisal, Work Life Balance",,2.8k,9.7k,285,514,973
VE Commercial Vehicles,Automobile | 1k-5k Employees | 16 years old | Gurgaon/Gurugram +127 more,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.8k,12.3k,147,4,374
Ford Motor,Automobile | 5k-10k Employees | Public | 121 years old | Dearborn +111 more,4.5,"Company Culture, Work Life Balance, Salary & Benefits",,2.8k,14.4k,85,114,398
Indian Oil Corporation,Oil & Gas | 10k-50k Employees | Fortune India 500 | 65 years old | Delhi/NCR +251 more,4.4,"Company Culture, Work Life Balance, Skill Development / Learning",,2.7k,7.5k,202,--,312
Tata Capital,NBFC | 5k-10k Employees | Fortune India 500 | 17 years old | Mumbai +228 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,2.7k,9.3k,104,959,108
Automatic Data Processing (ADP),Software Product | 1k-5k Employees | Forbes Global 2000 | 75 years old | New Jersey +24 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.7k,20.1k,149,21,477
Bharat Electronics,Electronics Manufacturing | 5k-10k Employees | Fortune India 500 | 70 years old | Bangalore/Bengaluru +49 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.7k,11.3k,148,--,327
Cummins,Industrial Machinery | 1k-5k Employees | Fortune India 500 | 62 years old | Columbus +82 more,4.4,"Company Culture, Work Life Balance, Skill Development / Learning",,2.7k,14.8k,147,31,477
Alembic Pharmaceuticals,Pharma | 10k-50k Employees | Public | 117 years old | Vadodara/Baroda +149 more,4.1,"Salary & Benefits, Work Life Balance",,2.7k,13.5k,157,47,399
Standard Chartered Bank,Banking | 10k-50k Employees | Fortune India 500 | 171 years old | London +57 more,3.8,Job Security,Promotions / Appraisal,2.7k,25.9k,122,44,318
American Express,Financial Services | 10k-50k Employees | Forbes Global 2000 | 174 years old | New York City +44 more,4.3,"Company Culture, Work Life Balance, Job Security",,2.7k,20.9k,211,191,450
Access Healthcare,IT Services & Consulting | 5k-10k Employees | 13 years old | Dallas +30 more,4.0,"Job Security, Company Culture",,2.7k,17.7k,139,77,284
R1 RCM,Healthcare | 5k-10k Employees | 17 years old | Murray +32 more,4.0,"Job Security, Company Culture, Work Life Balance",,2.7k,16.2k,188,43,372
Pidilite Industries,Chemicals | 5k-10k Employees | Public | 65 years old | Mumbai +235 more,4.4,"Job Security, Company Culture, Work Life Balance",,2.7k,9.5k,136,41,369
UnitedHealth,Healthcare | 10k-50k Employees | Forbes Global 2000 | 47 years old | Minnetonka +16 more,4.1,"Job Security, Work Life Balance, Company Culture",,2.7k,21.9k,66,10,438
ITC Infotech,IT Services & Consulting | 10k-50k Employees | 24 years old | Bangalore/Bengaluru +51 more,3.6,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,2.6k,27.5k,211,551,297
Tata AIA Life Insurance,Insurance | 10k-50k Employees | 23 years old | Mumbai +322 more,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,2.6k,11.6k,123,--,309
Hindalco Industries,Metals & Mining | 10k-50k Employees | Public | 66 years old | Mumbai +86 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,2.6k,9.8k,140,--,346
Alkem Laboratories,Pharma | 10k-50k Employees | Public | 51 years old | Mumbai +159 more,3.9,,,2.6k,9.1k,116,26,347
Publicis Sapient,IT Services & Consulting | 10k-50k Employees | 34 years old | New York +26 more,3.6,"Promotions / Appraisal, Job Security, Work Satisfaction",,2.6k,27.7k,317,208,413
Atos,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 27 years old | Vilnius +41 more,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",2.6k,27.5k,187,6,365
Aakash Educational Services,EdTech | 5k-10k Employees | 36 years old | New Delhi +203 more,3.6,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",,2.6k,11.2k,199,127,219
DCB Bank,Banking | 5k-10k Employees | Fortune India 500 | 94 years old | Mumbai +303 more,3.9,"Job Security, Work Life Balance, Company Culture",,2.6k,8.7k,129,48,253
Hindustan Coca Cola Beverages,Beverage | 5k-10k Employees | 27 years old | Bangalore +216 more,4.3,"Skill Development / Learning, Job Security, Salary & Benefits",,2.6k,7.1k,91,63,388
Indian Air Force,Defence & Aerospace | 1 Lakh+ Employees | 92 years old | New Delhi +111 more,4.7,"Job Security, Skill Development / Learning, Salary & Benefits",,2.6k,5.1k,37,--,376
Vishal Mega Mart,Retail | 10k-50k Employees | 16 years old | Gurgaon/Gurugram +317 more,3.8,Salary & Benefits,"Company Culture, Job Security",2.6k,6.6k,120,4,275
Utkarsh Small Finance Bank,Banking | 10k-50k Employees | Public | 15 years old | Varanasi +293 more,3.9,Job Security,,2.6k,8.7k,155,11,273
Glenmark Pharmaceuticals,Pharma | 10k-50k Employees | Public | 47 years old | Mumbai +140 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,2.5k,11.3k,94,50,331
Barclays,Banking | 10k-50k Employees | Forbes Global 2000 | 334 years old | London +31 more,4.0,"Job Security, Company Culture, Work Life Balance",,2.5k,23k,140,43,285
Berger Paints,Chemicals | 1k-5k Employees | Public | 101 years old | Kolkata +246 more,3.8,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.5k,8.2k,195,62,286
Ipca Laboratories,Pharma | 10k-50k Employees | Public | 75 years old | Mumbai +124 more,4.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",2.5k,10.9k,118,33,265
Maersk,Logistics | 10k-50k Employees | 120 years old | Copenhagen +35 more,4.3,"Company Culture, Work Life Balance, Job Security",,2.5k,16.6k,109,128,447
Jindal Steel and Power,Iron & Steel | 5k-10k Employees | Fortune India 500 | 45 years old | Delhi/NCR +116 more,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,2.5k,12.6k,207,21,330
Bank of America,Banking | 10k-50k Employees | Fortune India 500 | 26 years old | Charlotte +30 more,4.4,"Job Security, Work Life Balance, Company Culture",,2.5k,24.6k,151,1,433
ABB Group,Industrial Automation | 1k-5k Employees | Public | 36 years old | Zurich +96 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.5k,15.5k,128,1,359
DTDC Express,Logistics | 1k-5k Employees | 34 years old | Bangalore/Bengaluru +227 more,3.8,"Promotions / Appraisal, Salary & Benefits",,2.5k,8k,100,73,269
Aarti Industries,Agro Chemicals | 5k-10k Employees | Public | 49 years old | Mumbai +43 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,2.5k,12.7k,217,40,386
Wipro Infotech,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 79 years old | Bangalore +117 more,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.5k,17.8k,113,--,298
Marpu Foundation,Non-Profit | 51-200 Employees | 8 years old | Hyderabad/Secunderabad +53 more,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,2.5k,13,24,--,84
24/7 Customer,BPO | 5k-10k Employees | 24 years old | San Jose +25 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,2.5k,13.3k,151,35,440
Honda Motorcycle & Scooter,Automobile | 10k-50k Employees | 25 years old | Gurgaon/Gurugram +213 more,4.2,"Job Security, Company Culture, Work Life Balance",,2.5k,10.9k,106,--,372
NatWest Group,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon / Gurugram +22 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,2.5k,20.7k,120,15,378
HDFC Ergo General Insurance,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +231 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.5k,9.9k,94,6,279
Johnson Controls,Industrial Automation | 5k-10k Employees | Public | 139 years old | Cork +48 more,3.7,Promotions / Appraisal,,2.5k,14.3k,172,30,300
CMS IT Services,IT Services & Consulting | 5k-10k Employees | Startup | 10 years old | Bangalore +137 more,3.1,"Promotions / Appraisal, Salary & Benefits, Company Culture",,2.4k,10.9k,91,27,196
Carelon Global Solutions,IT Services & Consulting | 10k-50k Employees | Hyderabad / Secunderabad +12 more,4.0,"Job Security, Salary & Benefits, Company Culture",,2.4k,22.4k,257,27,50
PolicyBazaar,Internet | 10k-50k Employees | Public | 16 years old | Gurgaon +87 more,3.5,"Work Life Balance, Promotions / Appraisal, Company Culture",,2.4k,12.6k,179,94,241
RBL Bank,Banking | 10k-50k Employees | Public | 81 years old | Mumbai +223 more,3.8,Promotions / Appraisal,,2.4k,15.6k,122,90,225
Reliance Nippon Life Insurance,Insurance | 10k-50k Employees | 24 years old | Mumbai +430 more,3.9,,,2.4k,8.3k,100,3,235
MRF Tyres,Auto Components | 10k-50k Employees | Public | 78 years old | Chennai +163 more,3.8,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",2.4k,10.8k,213,20,377
Cogent E Services,BPO | 10k-50k Employees | Conglomerate | 20 years old | Noida +35 more,3.4,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,2.4k,8.1k,171,2,231
PNB MetLife,Insurance | 5k-10k Employees | Conglomerate | 23 years old | Mumbai +324 more,3.5,"Job Security, Work Satisfaction, Promotions / Appraisal",,2.4k,7.6k,109,721,230
Paras Hospital,Healthcare | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +46 more,4.6,"Skill Development / Learning, Company Culture, Work Life Balance",,2.4k,2.6k,56,46,154
Wipro Consumer Care & Lighting,FMCG | 1k-5k Employees | 79 years old | Bangalore/Bengaluru +95 more,3.9,Job Security,Promotions / Appraisal,2.4k,2.9k,41,30,286
Reliance Digital,Retail | 5k-10k Employees | 17 years old | Mumbai +307 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,2.4k,7.1k,75,2,278
GeBBS Healthcare Solutions,BPO | 5k-10k Employees | 19 years old | Culver City +18 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",2.4k,10.4k,104,106,304
Escorts Kubota Limited,Automobile | 1k-5k Employees | Public | 64 years old | Faridabad +137 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,2.4k,10.4k,142,--,268
Ceat Tyres,Auto Components | 5k-10k Employees | Public | 66 years old | Mumbai +113 more,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.4k,11.4k,115,1,366
Jubilant Foods Works,Hospitality | 10k-50k Employees | Public | 29 years old | Noida +193 more,3.9,"Skill Development / Learning, Salary & Benefits",,2.4k,7.3k,105,113,188
Kotak Mahindara Life Insurance,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +210 more,3.9,Job Security,,2.4k,11.2k,146,188,273
Axis Direct,Financial Services | 1k-5k Employees | 13 years old | San Mateo +271 more,3.9,Promotions / Appraisal,,2.4k,6.5k,60,36,227
Dabur,FMCG | 5k-10k Employees | Public | 140 years old | Ghaziabad +250 more,3.9,Promotions / Appraisal,,2.4k,7.6k,149,19,281
Conduent,BPO | 5k-10k Employees | 7 years old | Florham Park +21 more,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.4k,19.1k,125,67,386
JK Cement,Building Material | 1k-5k Employees | Public | 50 years old | Gurgaon/Gurugram +236 more,4.2,"Salary & Benefits, Company Culture, Job Security",,2.4k,7.9k,170,--,260
IndiGo,Aviation | 10k-50k Employees | Fortune India 500 | 19 years old | Gurgaon/Gurugram +89 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,2.3k,11.6k,275,85,321
Shoppers Stop,Retail | 5k-10k Employees | Public | 33 years old | Mumbai +62 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,2.3k,7.5k,75,7,329
Synechron,IT Services & Consulting | 5k-10k Employees | 23 years old | New York +26 more,3.8,"Salary & Benefits, Skill Development / Learning, Company Culture",Job Security,2.3k,24.5k,195,72,283
ACC,Building Material | 5k-10k Employees | Public | 88 years old | Mumbai +213 more,3.9,Promotions / Appraisal,,2.3k,9.7k,136,6,283
Birlasoft,IT Services & Consulting | 10k-50k Employees | Public | 29 years old | Pune +34 more,3.8,"Promotions / Appraisal, Salary & Benefits",,2.3k,27.1k,182,118,243
HARMAN,Consumer Electronics & Appliances | 5k-10k Employees | Public | 15 years old | Stamford +28 more,3.8,Work Life Balance,Promotions / Appraisal,2.3k,22.8k,157,43,126
Indiabulls Home Loans,NBFC | 5k-10k Employees | Public | 19 years old | Gurgaon/Gurugram +189 more,3.8,Promotions / Appraisal,,2.3k,9.3k,83,4,122
